cluster_id,type,entity,category,group,representative_query,representative_query_masked,representative_expected_answer,representative_note,cluster_size,member_queries,member_expected_answers,member_notes,threshold_used,masking_profile,block_key
43,TSFM,Chiller,Inference Query,predictive,Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use parameter 'Timestamp' as a timestamp.,forecast 'chiller 9 condenser water flow' using data in 'chiller9_annotated_small_test.csv'. use parameter 'timestamp' as a timestamp.,The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query,1,"[""Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use parameter 'Timestamp' as a timestamp.""]","[""The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Chiller', 'Inference Query')"
44,TSFM,Chiller,Inference Query,predictive,Use data in 'chiller9_annotated_small_test.csv' to forecast 'Chiller 9 Condenser Water Flow' with 'Timestamp' as a timestamp.,use data in 'chiller9_annotated_small_test.csv' to forecast 'chiller 9 condenser water flow' with 'timestamp' as a timestamp.,The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query,1,"[""Use data in 'chiller9_annotated_small_test.csv' to forecast 'Chiller 9 Condenser Water Flow' with 'Timestamp' as a timestamp.""]","[""The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Chiller', 'Inference Query')"
45,TSFM,Chiller,Tuning Query,predictive,Finetune a forecasting model for 'Chiller 9 Condenser Water Flow' using data in 'chiller9_finetuning_small.csv' with 'Timestamp' as a timestamp.,finetune a forecasting model for 'chiller 9 condenser water flow' using data in 'chiller9_finetuning_small.csv' with 'timestamp' as a timestamp.,The finetuned forecasting model is saved in save_model_dir=tunedmodels with result stored in results_file. Results are saved: {%JSON_RESULT},Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Tuning Query,2,"[""Finetune a forecasting model for 'Chiller 9 Condenser Water Flow' using data in 'chiller9_finetuning_small.csv' with 'Timestamp' as a timestamp."", ""Finetune a forecasting model for 'Chiller 9 Condenser Water Flow' using data in 'chiller9_finetuning_small.csv' with 'Timestamp' as a timestamp. Use 1% of data for tuning""]","['The finetuned forecasting model is saved in save_model_dir=tunedmodels with result stored in results_file. Results are saved: {%JSON_RESULT}', 'The finetuned forecasting model is saved in save_model_dir=tunedmodels with result stored in results_file. Results are saved: {%JSON_RESULT}']","['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Tuning Query', 'Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Tuning Query']",0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Chiller', 'Tuning Query')"
46,TSFM,Equipment,Knowledge Query,retrospective,What types of time series analysis are supported?,what types of time series analysis are supported?,"The expected response should be: the available AI tasks are [{task_id:'tsfm_integrated_tsad',task_description:'Time series Anomaly detection'},{task_id:'tsfm_forecasting',task_description:'Time series Multivariate Forecasting'},{task_id:'tsfm_forecasting_tune',task_description:'Finetuning of Multivariate Forecasting models'},{task_id:'tsfm_forecasting_evaluation',task_description:'Evaluation of Forecasting models'}]",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['What types of time series analysis are supported?'],"[""The expected response should be: the available AI tasks are [{task_id:'tsfm_integrated_tsad',task_description:'Time series Anomaly detection'},{task_id:'tsfm_forecasting',task_description:'Time series Multivariate Forecasting'},{task_id:'tsfm_forecasting_tune',task_description:'Finetuning of Multivariate Forecasting models'},{task_id:'tsfm_forecasting_evaluation',task_description:'Evaluation of Forecasting models'}]""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
47,TSFM,Equipment,Knowledge Query,predictive,What are time series pretrained models are available in system?,what are time series pretrained models are available in system?,"The expected response should be: The available pretrained models are [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'},{model_id:'ttm_512_96', model_checkpoint:'data/tsfm_test_data/ttm_512_96', model_description:'Pretrained forecasting model with context length 512'},{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'},{model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['What are time series pretrained models are available in system?'],"[""The expected response should be: The available pretrained models are [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'},{model_id:'ttm_512_96', model_checkpoint:'data/tsfm_test_data/ttm_512_96', model_description:'Pretrained forecasting model with context length 512'},{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'},{model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
48,TSFM,Equipment,Knowledge Query,predictive,Are any time series forecasting models supported?,are any time series forecasting models supported?,"The expected response should be: Yes, several time series forecasting models are supported.",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Are any time series forecasting models supported?'],"['The expected response should be: Yes, several time series forecasting models are supported.']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
49,TSFM,Equipment,Knowledge Query,retrospective,"Is TTM (Tiny Time Mixture), a time series model supported?","is ttm (tiny time mixture), a time series model supported?","The expected response should be: Yes, several TTM models are supported",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,"['Is TTM (Tiny Time Mixture), a time series model supported?']","['The expected response should be: Yes, several TTM models are supported']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
50,TSFM,Equipment,Knowledge Query,retrospective,Is LSTM model supported in TSFM?,is lstm model supported in tsfm?,The expected response should be: LSTM model is not supported.,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Is LSTM model supported in TSFM?'],['The expected response should be: LSTM model is not supported.'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
51,TSFM,Equipment,Knowledge Query,retrospective,Is Chronos model supported in TSFM?,is chronos model supported in tsfm?,"The expected response should be: No, Chronos is not supported",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Is Chronos model supported in TSFM?'],"['The expected response should be: No, Chronos is not supported']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
52,TSFM,Equipment,Knowledge Query,predictive,Is Anomaly Detection supported in TSFM?,is anomaly detection supported in tsfm?,"The expected response should be: Yes, anomaly detection is supported in TSFM.",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Is Anomaly Detection supported in TSFM?'],"['The expected response should be: Yes, anomaly detection is supported in TSFM.']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
53,TSFM,Equipment,Knowledge Query,retrospective,Is Time Series Classification supported in TSFM?,is time series classification supported in tsfm?,The expected response should be: Time Series Classification is not supported in TSFM,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Is Time Series Classification supported in TSFM?'],['The expected response should be: Time Series Classification is not supported in TSFM'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
54,TSFM,Equipment,Knowledge Query,retrospective,Is any model with context length 96 supported in TSFM?,is any model with context length 96 supported in tsfm?,"The expected response should be: Yes, there is a model with context length 96",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Is any model with context length 96 supported in TSFM?'],"['The expected response should be: Yes, there is a model with context length 96']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
55,TSFM,Equipment,Knowledge Query,retrospective,Is any model with context length 1024 supported in TSFM?,is any model with context length 1024 supported in tsfm?,"The expected response should be: No, there is no model with context length 1024",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Is any model with context length 1024 supported in TSFM?'],"['The expected response should be: No, there is no model with context length 1024']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
56,TSFM,Equipment,Knowledge Query,predictive,Find a model for energy forecasting.,find a model for energy forecasting.,"The expected response should be: [{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}, {model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Find a model for energy forecasting.'],"[""The expected response should be: [{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}, {model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
57,TSFM,Equipment,Knowledge Query,predictive,Find a model for energy forecasting with context length 96 and nothing else.,find a model for energy forecasting with context length 96 and nothing else.,The expected response should be: ttm_energy_96_28,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Find a model for energy forecasting with context length 96 and nothing else.'],['The expected response should be: ttm_energy_96_28'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
58,TSFM,Equipment,Knowledge Query,retrospective,Find all models with context length 96.,find all models with context length 96.,"The expected response should be: [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'}, {model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}]",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Find all models with context length 96.'],"[""The expected response should be: [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'}, {model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}]""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
59,TSFM,Equipment,Knowledge Query,retrospective,How many models with context length exactly 96 are supported?,how many models with context length exactly 96 are supported?,The expected response should be: There are 2 models with a context length of 96,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['How many models with context length exactly 96 are supported?'],['The expected response should be: There are 2 models with a context length of 96'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
60,TSFM,Equipment,Knowledge Query,predictive,Does TSFM support time series regression tasks or any model for forecasting with context length 1024?,does tsfm support time series regression tasks or any model for forecasting with context length 1024?,The expected response should be: TSFM does not support regression and there is no model with context length 1024,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Does TSFM support time series regression tasks or any model for forecasting with context length 1024?'],['The expected response should be: TSFM does not support regression and there is no model with context length 1024'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],0.82,refined_keep_numeric_mask_dates_ids,"('TSFM', 'Equipment', 'Knowledge Query')"
61,Workorder,Chiller,Decision Support,prescriptive,"Using your knowledge of the industrial asset, can you suggest me a work order for alert RUL0014 with the context of 'Chiller - Cooling Substance Delta T Low' for closed-loop water-cool chiller its load is higher than the upper bound?","using your knowledge of the industrial asset, can you suggest me a work order for alert rul0014 with the context of 'chiller - cooling substance delta t low' for closed-loop water-cool chiller its load is higher than the upper bound?",The output will be a one or more the primilar failure codes with their work order types. Recommend an appropriate work order to address the alert RUL0014 for the cooling issue in the closed-loop water-cooled chiller.,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"[""Using your knowledge of the industrial asset, can you suggest me a work order for alert RUL0014 with the context of 'Chiller - Cooling Substance Delta T Low' for closed-loop water-cool chiller its load is higher than the upper bound?""]",['The output will be a one or more the primilar failure codes with their work order types. Recommend an appropriate work order to address the alert RUL0014 for the cooling issue in the closed-loop water-cooled chiller.'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Chiller', 'Decision Support')"
62,Workorder,Chiller,Decision Support,retrospective;predictive,"Assume today is early of July 2020, I would like to review the performance of chiller 9 with equipment ID CWC04009 for June 2020 and track any anomalies or operation violations as alerts.","assume today is early of july 2020, i would like to review the performance of chiller 9 with equipment id cwc04009 for june 2020 and track any anomalies or operation violations as alerts.","There were 30 alerts for 'Chiller - Evaporator Approach High', and anomalies were observed in Cooling Load (12 instances), Flow Efficiency (9), Delta Setpoint (6), and Delta Temperature (3).  The LLM ReAct process is to review the operational performance and detect anomalies or alerts for Chiller 9 (CWC04009) during June 2020, confirming correct equipment ID and timeframe.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['Assume today is early of July 2020, I would like to review the performance of chiller 9 with equipment ID CWC04009 for June 2020 and track any anomalies or operation violations as alerts.']","[""There were 30 alerts for 'Chiller - Evaporator Approach High', and anomalies were observed in Cooling Load (12 instances), Flow Efficiency (9), Delta Setpoint (6), and Delta Temperature (3).  The LLM ReAct process is to review the operational performance and detect anomalies or alerts for Chiller 9 (CWC04009) during June 2020, confirming correct equipment ID and timeframe.""]",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Chiller', 'Decision Support')"
63,Workorder,Chiller,Decision Support,retrospective;predictive,"In May and June of 2020, numerous anomalies and alerts have been reported for Chiller 9 with equipment ID CWC04009. Could you review them and suggest appropriate work orders or actions?","in may and june of 2020, numerous anomalies and alerts have been reported for chiller 9 with equipment id cwc04009. could you review them and suggest appropriate work orders or actions?",The output will be a one or more the primilar failure codes. The LLM ReAct analyze anomalies and alerts for Chiller 9 (CWC04009) during May–June 2020 and recommend appropriate corrective work orders.,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['In May and June of 2020, numerous anomalies and alerts have been reported for Chiller 9 with equipment ID CWC04009. Could you review them and suggest appropriate work orders or actions?']",['The output will be a one or more the primilar failure codes. The LLM ReAct analyze anomalies and alerts for Chiller 9 (CWC04009) during May–June 2020 and recommend appropriate corrective work orders.'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Chiller', 'Decision Support')"
64,Workorder,Chiller,Decision Support,prescriptive,"After checking existing work orders, anomalies and alerts in May and June 2020 for Chiller 9 with equipment ID CWC04009, should I recommend a new work order or is it too early to decide for July 2020?","after checking existing work orders, anomalies and alerts in may and june 2020 for chiller 9 with equipment id cwc04009, should i recommend a new work order or is it too early to decide for july 2020?","The output will be zeor or more the primilar failure codes recommendaed as possible work orders. Evaluate whether a new work order should be created for July 2020 based on the review of anomalies, alerts, and existing work orders from May–June 2020 for CWC04009.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['After checking existing work orders, anomalies and alerts in May and June 2020 for Chiller 9 with equipment ID CWC04009, should I recommend a new work order or is it too early to decide for July 2020?']","['The output will be zeor or more the primilar failure codes recommendaed as possible work orders. Evaluate whether a new work order should be created for July 2020 based on the review of anomalies, alerts, and existing work orders from May–June 2020 for CWC04009.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Chiller', 'Decision Support')"
65,Workorder,Chiller,Decision Support,prescriptive,I am using historical work order information upto end of June 2020 for prioritizing maintenance. Which work orders should I prioritize first for Chiller 9 with equipment ID CWC04009 in July 2020?,i am using historical work order information upto end of june 2020 for prioritizing maintenance. which work orders should i prioritize first for chiller 9 with equipment id cwc04009 in july 2020?,The output will be zeor or more the primilar failure codes recommendaed as possible work orders with priorities. Use historical work order data up to June 2020 to prioritize the most urgent work orders for Chiller 9 (CWC04009) in July 2020.,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,['I am using historical work order information upto end of June 2020 for prioritizing maintenance. Which work orders should I prioritize first for Chiller 9 with equipment ID CWC04009 in July 2020?'],['The output will be zeor or more the primilar failure codes recommendaed as possible work orders with priorities. Use historical work order data up to June 2020 to prioritize the most urgent work orders for Chiller 9 (CWC04009) in July 2020.'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Chiller', 'Decision Support')"
66,Workorder,Chiller,Decision Support,prescriptive,"Can you provide guidance on bundling corrective work orders together to optimize the maintenance schedule for Chiller 9 with equipment ID CWC04009 covering years of 2017, 2018 and 2019, bundle has to be happen within two weeks and have at least two work orders, also tell the details of each bundle?","can you provide guidance on bundling corrective work orders together to optimize the maintenance schedule for chiller 9 with equipment id cwc04009 covering years of 2017, 2018 and 2019, bundle has to be happen within two weeks and have at least two work orders, also tell the details of each bundle?","There will be three bundles generated with the size of 15, 6 and 2 respectively.  Suggest bundles of corrective work orders for CWC04009 across 2017–2019, ensuring each bundle contains at least two work orders scheduled within a two-week window.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['Can you provide guidance on bundling corrective work orders together to optimize the maintenance schedule for Chiller 9 with equipment ID CWC04009 covering years of 2017, 2018 and 2019, bundle has to be happen within two weeks and have at least two work orders, also tell the details of each bundle?']","['There will be three bundles generated with the size of 15, 6 and 2 respectively.  Suggest bundles of corrective work orders for CWC04009 across 2017–2019, ensuring each bundle contains at least two work orders scheduled within a two-week window.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Chiller', 'Decision Support')"
67,Workorder,Chiller,Decision Support,prescriptive,"Since we know 80% of alerts are likely spurious, can you identify the meaningful 20% for further analysis for any chillers?","since we know 80% of alerts are likely spurious, can you identify the meaningful 20% for further analysis for any chillers?","The results may vary, and the actual outcome depends on the specific LLM used. Filter and prioritize the most meaningful 20% of alerts from chillers for detailed analysis, excluding the spurious ones.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['Since we know 80% of alerts are likely spurious, can you identify the meaningful 20% for further analysis for any chillers?']","['The results may vary, and the actual outcome depends on the specific LLM used. Filter and prioritize the most meaningful 20% of alerts from chillers for detailed analysis, excluding the spurious ones.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Chiller', 'Decision Support')"
68,Workorder,Chiller,Decision Support,prescriptive,How can reasoning on operation alerts help in generating significant warning message to improve maintenance recommendations for Chiller 9 with equipment ID CWC04009?,how can reasoning on operation alerts help in generating significant warning message to improve maintenance recommendations for chiller 9 with equipment id cwc04009?,The output will be one or more the alter rule codes. Explain how operational alert reasoning can be used to improve the generation of actionable warning messages for Chiller 9 (CWC04009).,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,['How can reasoning on operation alerts help in generating significant warning message to improve maintenance recommendations for Chiller 9 with equipment ID CWC04009?'],['The output will be one or more the alter rule codes. Explain how operational alert reasoning can be used to improve the generation of actionable warning messages for Chiller 9 (CWC04009).'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Chiller', 'Decision Support')"
69,Workorder,Chiller,Decision Support,retrospective;predictive,"We are building an early detection and remediation system for potential failures, such as condenser water side fouling, for Chiller 9 with equipment ID CWC04009 at main site site with two month’s period from 2020-05-01T12:30:00 to 2022-06-30T19:30:00.  We like to review the chiller’s performance of the period with any anomalies or operation violations as alerts, and provide the guideline on work order generation?","we are building an early detection and remediation system for potential failures, such as condenser water side fouling, for chiller 9 with equipment id cwc04009 at main site site with two month’s period from <date> to <date>. we like to review the chiller’s performance of the period with any anomalies or operation violations as alerts, and provide the guideline on work order generation?","The output will be one or more the primilar failure codes with corresponding work order types. Review anomalies and alerts for Chiller 9 (CWC04009) at main site between 2020-05-01 and 2022-06-30, and provide work order generation guidelines.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['We are building an early detection and remediation system for potential failures, such as condenser water side fouling, for Chiller 9 with equipment ID CWC04009 at main site site with two month’s period from 2020-05-01T12:30:00 to 2022-06-30T19:30:00.  We like to review the chiller’s performance of the period with any anomalies or operation violations as alerts, and provide the guideline on work order generation?']","['The output will be one or more the primilar failure codes with corresponding work order types. Review anomalies and alerts for Chiller 9 (CWC04009) at main site between 2020-05-01 and 2022-06-30, and provide work order generation guidelines.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Chiller', 'Decision Support')"
70,Workorder,Chiller,Decision Support,retrospective;predictive,"Assume today is early of July 2020, I would like to review the performance of chiller 9 with equipment ID CWC04009 for June 2020 and track any anomalies or operation violations as alerts. Tell me what corrective work orders have been scheduled, and whether new work order should generate.","assume today is early of july 2020, i would like to review the performance of chiller 9 with equipment id cwc04009 for june 2020 and track any anomalies or operation violations as alerts. tell me what corrective work orders have been scheduled, and whether new work order should generate.","The output will be zero or one the primilar failure code with corresponding work order type. The outcome dependes on the LLM utilzied. Review June 2020 anomalies and alerts for Chiller 9 (CWC04009), list scheduled corrective work orders, and determine if a new work order is needed.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['Assume today is early of July 2020, I would like to review the performance of chiller 9 with equipment ID CWC04009 for June 2020 and track any anomalies or operation violations as alerts. Tell me what corrective work orders have been scheduled, and whether new work order should generate.']","['The output will be zero or one the primilar failure code with corresponding work order type. The outcome dependes on the LLM utilzied. Review June 2020 anomalies and alerts for Chiller 9 (CWC04009), list scheduled corrective work orders, and determine if a new work order is needed.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Chiller', 'Decision Support')"
71,Workorder,Chiller,Decision Support,retrospective;predictive,"I would like to review the performance of chiller 9 with equipment ID CWC04009 at main site site for June 2020 and track any anomalies or operation alerts. Tell me what corrective work orders have been scheduled, and whether new work order should generate.","i would like to review the performance of chiller 9 with equipment id cwc04009 at main site site for june 2020 and track any anomalies or operation alerts. tell me what corrective work orders have been scheduled, and whether new work order should generate.","The output will be zero or more the primilar failure code with corresponding work order type. The outcome dependes on the LLM utilzied. Review June 2020 performance of Chiller 9 (CWC04009) at main site, track anomalies and alerts, and evaluate corrective work order needs.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['I would like to review the performance of chiller 9 with equipment ID CWC04009 at main site site for June 2020 and track any anomalies or operation alerts. Tell me what corrective work orders have been scheduled, and whether new work order should generate.']","['The output will be zero or more the primilar failure code with corresponding work order type. The outcome dependes on the LLM utilzied. Review June 2020 performance of Chiller 9 (CWC04009) at main site, track anomalies and alerts, and evaluate corrective work order needs.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Chiller', 'Decision Support')"
72,Workorder,Chiller,Decision Support,prescriptive,"We are building an early detection system for a potential failure condenser Water side fouling for Chiller 9. Monitor Chiller 9 at main site site from 2020-04-20T12:30:00 to 2020-05-12T19:30:00, identify anomalous behaviors and provide a work order recomendation.","we are building an early detection system for a potential failure condenser water side fouling for chiller 9. monitor chiller 9 at main site site from <date> to <date>, identify anomalous behaviors and provide a work order recomendation.",The output could be a description of anomalous for fouling and/or a work order recommendation. Monitor Chiller 9 (CWC04009) at main site between 2020-04-20 and 2020-05-12 for anomalies indicating condenser fouling and recommend a corrective work order.,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['We are building an early detection system for a potential failure condenser Water side fouling for Chiller 9. Monitor Chiller 9 at main site site from 2020-04-20T12:30:00 to 2020-05-12T19:30:00, identify anomalous behaviors and provide a work order recomendation.']",['The output could be a description of anomalous for fouling and/or a work order recommendation. Monitor Chiller 9 (CWC04009) at main site between 2020-04-20 and 2020-05-12 for anomalies indicating condenser fouling and recommend a corrective work order.'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],0.82,refined_keep_numeric_mask_dates_ids,"('Workorder', 'Chiller', 'Decision Support')"
