meta_cluster_id,type,entity,category,group,representative_query,representative_query_masked,representative_expected_answer,representative_note,source_refined_cluster_ids,source_refined_cluster_count,cluster_size,member_queries,member_expected_answers,member_notes,action_signature,param_sensitive,meta_key,merge_profile
35,IoT,Chiller,Knowledge Query,retrospective,retrieve the supply temperature data recorded last week for Chiller 3 (MAIN site)?,retrieve the supply temperature data recorded last week for chiller 3 (main site)?,The expected response should be the supply temperature for asset Chiller 3 for the site MAIN for last week.  The returned value should be a reference to a file listing the supply temperatures.,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,[34],1,1,['retrieve the supply temperature data recorded last week for Chiller 3 (MAIN site)?'],['The expected response should be the supply temperature for asset Chiller 3 for the site MAIN for last week.  The returned value should be a reference to a file listing the supply temperatures.'],['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_OTHER,False,"('IoT', 'Chiller', 'Knowledge Query', 'retrospective', 'ASK_OTHER', 'retrieve the supply temperature data recorded last week for chiller <NUM> (main site)?')",aggressive_template_collapse_v1
36,IoT,Equipment,Knowledge Query,retrospective,Which assets are located at the MAIN facility?,which assets are located at the main facility?,The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,[36],1,1,['Which assets are located at the MAIN facility?'],['The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets'],['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_LIST,False,"('IoT', 'Equipment', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'which assets are located at the main facility?')",aggressive_template_collapse_v1
37,IoT,Site,Knowledge Query,retrospective,Can you list the IoT sites?,can you list the iot sites?,"The expected response should be the return value of all sites, either as text or as a reference to a file",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,[38],1,1,['Can you list the IoT sites?'],"['The expected response should be the return value of all sites, either as text or as a reference to a file']",['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_LIST,False,"('IoT', 'Site', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'can you list the iot site <SITE>?')",aggressive_template_collapse_v1
38,IoT,Site,Knowledge Query,retrospective,What assets can be found at the MAIN site?,what assets can be found at the <site> site?,The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,[39],1,1,['What assets can be found at the MAIN site?'],['The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets'],['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_LIST,False,"('IoT', 'Site', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'what assets can be found at the <site> site?')",aggressive_template_collapse_v1
39,IoT,Site,Knowledge Query,retrospective,What IoT sites are available?,what iot sites are available?,"The expected response should be the return value of all sites, either as text or as a reference to a file",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,[37],1,1,['What IoT sites are available?'],"['The expected response should be the return value of all sites, either as text or as a reference to a file']",['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_LIST,False,"('IoT', 'Site', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'what iot site <SITE> are available?')",aggressive_template_collapse_v1
40,TSFM,Chiller,Anomaly Detection Query,predictive,I need to perform Time Series anomaly detection of 'Chiller 9 Condenser Water Flow' using data in chiller9_tsad.csv,i need to perform time series anomaly detection of 'chiller 9 condenser water flow' using data in chiller9_tsad.csv,The anomaly detection results are stored in file data/tsfm_test_data/tsad_conformal.csv,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Anomaly Detection Query,[40],1,1,"[""I need to perform Time Series anomaly detection of 'Chiller 9 Condenser Water Flow' using data in chiller9_tsad.csv""]",['The anomaly detection results are stored in file data/tsfm_test_data/tsad_conformal.csv'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Anomaly Detection Query'],ASK_OTHER,False,"('TSFM', 'Chiller', 'Anomaly Detection Query', 'predictive', 'ASK_OTHER', ""i need to perform time series anomaly detection of 'chiller <NUM> condenser water flow' using data in chiller9_tsad.csv"")",aggressive_template_collapse_v1
41,TSFM,Chiller,Complex Query,retrospective,Find and run several methods to analyze data sensor 'Chiller 9 Condenser Water Flow' using data in 'data/tsfm_test_data/chiller9_tsad-small.csv'.,find and run several methods to analyze data sensor 'chiller 9 condenser water flow' using data in 'data/tsfm_test_data/chiller9_tsad-small.csv'.,The forecasting results for 'Chiller 9 Condenser Water Flow' using data in 'data/tsfm_test_data/chiller9_annotated_small_test.csv' are available in the json file and results of anomaly detection are stored in a csv file,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Complex Query,[41],1,1,"[""Find and run several methods to analyze data sensor 'Chiller 9 Condenser Water Flow' using data in 'data/tsfm_test_data/chiller9_tsad-small.csv'.""]","[""The forecasting results for 'Chiller 9 Condenser Water Flow' using data in 'data/tsfm_test_data/chiller9_annotated_small_test.csv' are available in the json file and results of anomaly detection are stored in a csv file""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Complex Query'],ASK_OTHER,False,"('TSFM', 'Chiller', 'Complex Query', 'retrospective', 'ASK_OTHER', ""find and run several methods to analyze data sensor 'chiller <NUM> condenser water flow' using data in 'data/tsfm_test_data/chiller9_tsad-small.csv'."")",aggressive_template_collapse_v1
42,TSFM,Chiller,Inference Query,predictive,"Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use parameter 'Timestamp' as a timestamp. Use the following parameters as inputs 'Chiller 9 Liquid Refrigerant Evaporator Temperature,Chiller 9 Return Temperature,Chiller 9 Tonnage,Chiller 9 Setpoint Temperature,Chiller 9 Supply Temperature,Chiller 9 Chiller % Loaded,Chiller 9 Condenser Water Supply To Chiller Temperature,Chiller 9 Power Input,Chiller 9 Chiller Efficiency'","forecast 'chiller 9 condenser water flow' using data in 'chiller9_annotated_small_test.csv'. use parameter 'timestamp' as a timestamp. use the following parameters as inputs 'chiller 9 liquid refrigerant evaporator temperature,chiller 9 return temperature,chiller 9 tonnage,chiller 9 setpoint temperature,chiller 9 supply temperature,chiller 9 chiller % loaded,chiller 9 condenser water supply to chiller temperature,chiller 9 power input,chiller 9 chiller efficiency'",The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query,[42],1,2,"[""Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use parameter 'Timestamp' as a timestamp. Use the following parameters as inputs 'Chiller 9 Liquid Refrigerant Evaporator Temperature,Chiller 9 Return Temperature,Chiller 9 Tonnage,Chiller 9 Setpoint Temperature,Chiller 9 Supply Temperature,Chiller 9 Chiller % Loaded,Chiller 9 Condenser Water Supply To Chiller Temperature,Chiller 9 Power Input,Chiller 9 Chiller Efficiency'"", ""Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use the following parameters as inputs 'Chiller 9 Liquid Refrigerant Evaporator Temperature,Chiller 9 Return Temperature,Chiller 9 Tonnage,Chiller 9 Setpoint Temperature,Chiller 9 Supply Temperature,Chiller 9 Chiller % Loaded,Chiller 9 Condenser Water Supply To Chiller Temperature,Chiller 9 Power Input,Chiller 9 Chiller Efficiency'""]","[""The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query'],ASK_PREDICT,True,"('TSFM', 'Chiller', 'Inference Query', 'predictive', 'ASK_PREDICT', 'PARAM_LOCK', 42)",aggressive_template_collapse_v1
43,TSFM,Chiller,Inference Query,predictive,Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use parameter 'Timestamp' as a timestamp.,forecast 'chiller 9 condenser water flow' using data in 'chiller9_annotated_small_test.csv'. use parameter 'timestamp' as a timestamp.,The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query,[43],1,1,"[""Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use parameter 'Timestamp' as a timestamp.""]","[""The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query'],ASK_PREDICT,True,"('TSFM', 'Chiller', 'Inference Query', 'predictive', 'ASK_PREDICT', 'PARAM_LOCK', 43)",aggressive_template_collapse_v1
44,TSFM,Chiller,Inference Query,predictive,Use data in 'chiller9_annotated_small_test.csv' to forecast 'Chiller 9 Condenser Water Flow' with 'Timestamp' as a timestamp.,use data in 'chiller9_annotated_small_test.csv' to forecast 'chiller 9 condenser water flow' with 'timestamp' as a timestamp.,The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query,[44],1,1,"[""Use data in 'chiller9_annotated_small_test.csv' to forecast 'Chiller 9 Condenser Water Flow' with 'Timestamp' as a timestamp.""]","[""The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query'],ASK_PREDICT,True,"('TSFM', 'Chiller', 'Inference Query', 'predictive', 'ASK_PREDICT', 'PARAM_LOCK', 44)",aggressive_template_collapse_v1
45,TSFM,Chiller,Tuning Query,predictive,Finetune a forecasting model for 'Chiller 9 Condenser Water Flow' using data in 'chiller9_finetuning_small.csv' with 'Timestamp' as a timestamp.,finetune a forecasting model for 'chiller 9 condenser water flow' using data in 'chiller9_finetuning_small.csv' with 'timestamp' as a timestamp.,The finetuned forecasting model is saved in save_model_dir=tunedmodels with result stored in results_file. Results are saved: {%JSON_RESULT},Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Tuning Query,[45],1,2,"[""Finetune a forecasting model for 'Chiller 9 Condenser Water Flow' using data in 'chiller9_finetuning_small.csv' with 'Timestamp' as a timestamp."", ""Finetune a forecasting model for 'Chiller 9 Condenser Water Flow' using data in 'chiller9_finetuning_small.csv' with 'Timestamp' as a timestamp. Use 1% of data for tuning""]",['The finetuned forecasting model is saved in save_model_dir=tunedmodels with result stored in results_file. Results are saved: {%JSON_RESULT}'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Tuning Query'],ASK_OTHER,False,"('TSFM', 'Chiller', 'Tuning Query', 'predictive', 'ASK_OTHER', ""finetune a forecasting model for 'chiller <NUM> condenser water flow' using data in 'chiller9_finetuning_small.csv' with 'timestamp' as a timestamp."")",aggressive_template_collapse_v1
46,TSFM,Equipment,Knowledge Query,predictive,What are time series pretrained models are available in system?,what are time series pretrained models are available in system?,"The expected response should be: The available pretrained models are [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'},{model_id:'ttm_512_96', model_checkpoint:'data/tsfm_test_data/ttm_512_96', model_description:'Pretrained forecasting model with context length 512'},{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'},{model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[47],1,1,['What are time series pretrained models are available in system?'],"[""The expected response should be: The available pretrained models are [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'},{model_id:'ttm_512_96', model_checkpoint:'data/tsfm_test_data/ttm_512_96', model_description:'Pretrained forecasting model with context length 512'},{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'},{model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_LIST,False,"('TSFM', 'Equipment', 'Knowledge Query', 'predictive', 'ASK_LIST', 'what are time series pretrained models are available in system?')",aggressive_template_collapse_v1
47,TSFM,Equipment,Knowledge Query,predictive,Find a model for energy forecasting with context length 96 and nothing else.,find a model for energy forecasting with context length 96 and nothing else.,The expected response should be: ttm_energy_96_28,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[57],1,1,['Find a model for energy forecasting with context length 96 and nothing else.'],['The expected response should be: ttm_energy_96_28'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_OTHER,True,"('TSFM', 'Equipment', 'Knowledge Query', 'predictive', 'ASK_OTHER', 'PARAM_LOCK', 57)",aggressive_template_collapse_v1
48,TSFM,Equipment,Knowledge Query,predictive,Does TSFM support time series regression tasks or any model for forecasting with context length 1024?,does tsfm support time series regression tasks or any model for forecasting with context length 1024?,The expected response should be: TSFM does not support regression and there is no model with context length 1024,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[60],1,1,['Does TSFM support time series regression tasks or any model for forecasting with context length 1024?'],['The expected response should be: TSFM does not support regression and there is no model with context length 1024'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_OTHER,True,"('TSFM', 'Equipment', 'Knowledge Query', 'predictive', 'ASK_OTHER', 'PARAM_LOCK', 60)",aggressive_template_collapse_v1
49,TSFM,Equipment,Knowledge Query,predictive,Are any time series forecasting models supported?,are any time series forecasting models supported?,"The expected response should be: Yes, several time series forecasting models are supported.",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[48],1,1,['Are any time series forecasting models supported?'],"['The expected response should be: Yes, several time series forecasting models are supported.']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_OTHER,False,"('TSFM', 'Equipment', 'Knowledge Query', 'predictive', 'ASK_OTHER', 'are any time series forecasting models supported?')",aggressive_template_collapse_v1
50,TSFM,Equipment,Knowledge Query,predictive,Find a model for energy forecasting.,find a model for energy forecasting.,"The expected response should be: [{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}, {model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[56],1,1,['Find a model for energy forecasting.'],"[""The expected response should be: [{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}, {model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_OTHER,False,"('TSFM', 'Equipment', 'Knowledge Query', 'predictive', 'ASK_OTHER', 'find a model for energy forecasting.')",aggressive_template_collapse_v1
51,TSFM,Equipment,Knowledge Query,predictive,Is Anomaly Detection supported in TSFM?,is anomaly detection supported in tsfm?,"The expected response should be: Yes, anomaly detection is supported in TSFM.",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[52],1,1,['Is Anomaly Detection supported in TSFM?'],"['The expected response should be: Yes, anomaly detection is supported in TSFM.']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_OTHER,False,"('TSFM', 'Equipment', 'Knowledge Query', 'predictive', 'ASK_OTHER', 'is anomaly detection supported in tsfm?')",aggressive_template_collapse_v1
52,TSFM,Equipment,Knowledge Query,retrospective,How many models with context length exactly 96 are supported?,how many models with context length exactly 96 are supported?,The expected response should be: There are 2 models with a context length of 96,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[59],1,1,['How many models with context length exactly 96 are supported?'],['The expected response should be: There are 2 models with a context length of 96'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_COUNT,True,"('TSFM', 'Equipment', 'Knowledge Query', 'retrospective', 'ASK_COUNT', 'PARAM_LOCK', 59)",aggressive_template_collapse_v1
53,TSFM,Equipment,Knowledge Query,retrospective,What types of time series analysis are supported?,what types of time series analysis are supported?,"The expected response should be: the available AI tasks are [{task_id:'tsfm_integrated_tsad',task_description:'Time series Anomaly detection'},{task_id:'tsfm_forecasting',task_description:'Time series Multivariate Forecasting'},{task_id:'tsfm_forecasting_tune',task_description:'Finetuning of Multivariate Forecasting models'},{task_id:'tsfm_forecasting_evaluation',task_description:'Evaluation of Forecasting models'}]",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[46],1,1,['What types of time series analysis are supported?'],"[""The expected response should be: the available AI tasks are [{task_id:'tsfm_integrated_tsad',task_description:'Time series Anomaly detection'},{task_id:'tsfm_forecasting',task_description:'Time series Multivariate Forecasting'},{task_id:'tsfm_forecasting_tune',task_description:'Finetuning of Multivariate Forecasting models'},{task_id:'tsfm_forecasting_evaluation',task_description:'Evaluation of Forecasting models'}]""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_LIST,False,"('TSFM', 'Equipment', 'Knowledge Query', 'retrospective', 'ASK_LIST', 'what types of time series analysis are supported?')",aggressive_template_collapse_v1
54,TSFM,Equipment,Knowledge Query,retrospective,Is any model with context length 96 supported in TSFM?,is any model with context length 96 supported in tsfm?,"The expected response should be: Yes, there is a model with context length 96",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[54],1,1,['Is any model with context length 96 supported in TSFM?'],"['The expected response should be: Yes, there is a model with context length 96']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_OTHER,True,"('TSFM', 'Equipment', 'Knowledge Query', 'retrospective', 'ASK_OTHER', 'PARAM_LOCK', 54)",aggressive_template_collapse_v1
55,TSFM,Equipment,Knowledge Query,retrospective,Is any model with context length 1024 supported in TSFM?,is any model with context length 1024 supported in tsfm?,"The expected response should be: No, there is no model with context length 1024",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[55],1,1,['Is any model with context length 1024 supported in TSFM?'],"['The expected response should be: No, there is no model with context length 1024']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_OTHER,True,"('TSFM', 'Equipment', 'Knowledge Query', 'retrospective', 'ASK_OTHER', 'PARAM_LOCK', 55)",aggressive_template_collapse_v1
56,TSFM,Equipment,Knowledge Query,retrospective,Find all models with context length 96.,find all models with context length 96.,"The expected response should be: [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'}, {model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}]",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[58],1,1,['Find all models with context length 96.'],"[""The expected response should be: [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'}, {model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}]""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_OTHER,True,"('TSFM', 'Equipment', 'Knowledge Query', 'retrospective', 'ASK_OTHER', 'PARAM_LOCK', 58)",aggressive_template_collapse_v1
57,TSFM,Equipment,Knowledge Query,retrospective,Is Chronos model supported in TSFM?,is chronos model supported in tsfm?,"The expected response should be: No, Chronos is not supported",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[51],1,1,['Is Chronos model supported in TSFM?'],"['The expected response should be: No, Chronos is not supported']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_OTHER,False,"('TSFM', 'Equipment', 'Knowledge Query', 'retrospective', 'ASK_OTHER', 'is chronos model supported in tsfm?')",aggressive_template_collapse_v1
58,TSFM,Equipment,Knowledge Query,retrospective,Is LSTM model supported in TSFM?,is lstm model supported in tsfm?,The expected response should be: LSTM model is not supported.,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[50],1,1,['Is LSTM model supported in TSFM?'],['The expected response should be: LSTM model is not supported.'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_OTHER,False,"('TSFM', 'Equipment', 'Knowledge Query', 'retrospective', 'ASK_OTHER', 'is lstm model supported in tsfm?')",aggressive_template_collapse_v1
59,TSFM,Equipment,Knowledge Query,retrospective,Is Time Series Classification supported in TSFM?,is time series classification supported in tsfm?,The expected response should be: Time Series Classification is not supported in TSFM,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[53],1,1,['Is Time Series Classification supported in TSFM?'],['The expected response should be: Time Series Classification is not supported in TSFM'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_OTHER,False,"('TSFM', 'Equipment', 'Knowledge Query', 'retrospective', 'ASK_OTHER', 'is time series classification supported in tsfm?')",aggressive_template_collapse_v1
60,TSFM,Equipment,Knowledge Query,retrospective,"Is TTM (Tiny Time Mixture), a time series model supported?","is ttm (tiny time mixture), a time series model supported?","The expected response should be: Yes, several TTM models are supported",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,[49],1,1,"['Is TTM (Tiny Time Mixture), a time series model supported?']","['The expected response should be: Yes, several TTM models are supported']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],ASK_OTHER,False,"('TSFM', 'Equipment', 'Knowledge Query', 'retrospective', 'ASK_OTHER', 'is ttm (tiny time mixture), a time series model supported?')",aggressive_template_collapse_v1
61,Workorder,Chiller,Decision Support,prescriptive,I am using historical work order information upto end of June 2020 for prioritizing maintenance. Which work orders should I prioritize first for Chiller 9 with equipment ID CWC04009 in July 2020?,i am using historical work order information upto end of june 2020 for prioritizing maintenance. which work orders should i prioritize first for chiller 9 with equipment id cwc04009 in july 2020?,The output will be zeor or more the primilar failure codes recommendaed as possible work orders with priorities. Use historical work order data up to June 2020 to prioritize the most urgent work orders for Chiller 9 (CWC04009) in July 2020.,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,[65],1,1,['I am using historical work order information upto end of June 2020 for prioritizing maintenance. Which work orders should I prioritize first for Chiller 9 with equipment ID CWC04009 in July 2020?'],['The output will be zeor or more the primilar failure codes recommendaed as possible work orders with priorities. Use historical work order data up to June 2020 to prioritize the most urgent work orders for Chiller 9 (CWC04009) in July 2020.'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],ASK_LIST+ASK_WORKORDER,False,"('Workorder', 'Chiller', 'Decision Support', 'prescriptive', 'ASK_LIST+ASK_WORKORDER', 'i am using historical work order information upto end of june 2020 for prioritizing maintenance. which work orders should i prioritize first for chiller <NUM> with equipment <ID> cwc04009 in july 2020?')",aggressive_template_collapse_v1
62,Workorder,Chiller,Decision Support,prescriptive,"Can you provide guidance on bundling corrective work orders together to optimize the maintenance schedule for Chiller 9 with equipment ID CWC04009 covering years of 2017, 2018 and 2019, bundle has to be happen within two weeks and have at least two work orders, also tell the details of each bundle?","can you provide guidance on bundling corrective work orders together to optimize the maintenance schedule for chiller 9 with equipment id cwc04009 covering years of 2017, 2018 and 2019, bundle has to be happen within two weeks and have at least two work orders, also tell the details of each bundle?","There will be three bundles generated with the size of 15, 6 and 2 respectively.  Suggest bundles of corrective work orders for CWC04009 across 2017–2019, ensuring each bundle contains at least two work orders scheduled within a two-week window.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,[66],1,1,"['Can you provide guidance on bundling corrective work orders together to optimize the maintenance schedule for Chiller 9 with equipment ID CWC04009 covering years of 2017, 2018 and 2019, bundle has to be happen within two weeks and have at least two work orders, also tell the details of each bundle?']","['There will be three bundles generated with the size of 15, 6 and 2 respectively.  Suggest bundles of corrective work orders for CWC04009 across 2017–2019, ensuring each bundle contains at least two work orders scheduled within a two-week window.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],ASK_OTHER,False,"('Workorder', 'Chiller', 'Decision Support', 'prescriptive', 'ASK_OTHER', 'can you provide guidance on bundling corrective work orders together to optimize the maintenance schedule for chiller <NUM> with equipment <ID> cwc04009 covering years of 2017, 2018 and 2019, bundle has to be happen within two weeks and have at least two work orders, also tell the details of each bundle?')",aggressive_template_collapse_v1
63,Workorder,Chiller,Decision Support,prescriptive,How can reasoning on operation alerts help in generating significant warning message to improve maintenance recommendations for Chiller 9 with equipment ID CWC04009?,how can reasoning on operation alerts help in generating significant warning message to improve maintenance recommendations for chiller 9 with equipment id cwc04009?,The output will be one or more the alter rule codes. Explain how operational alert reasoning can be used to improve the generation of actionable warning messages for Chiller 9 (CWC04009).,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,[68],1,1,['How can reasoning on operation alerts help in generating significant warning message to improve maintenance recommendations for Chiller 9 with equipment ID CWC04009?'],['The output will be one or more the alter rule codes. Explain how operational alert reasoning can be used to improve the generation of actionable warning messages for Chiller 9 (CWC04009).'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],ASK_OTHER,False,"('Workorder', 'Chiller', 'Decision Support', 'prescriptive', 'ASK_OTHER', 'how can reasoning on operation alerts help in generating significant warning message to improve maintenance recommendations for chiller <NUM> with equipment <ID> cwc04009?')",aggressive_template_collapse_v1
64,Workorder,Chiller,Decision Support,prescriptive,"Since we know 80% of alerts are likely spurious, can you identify the meaningful 20% for further analysis for any chillers?","since we know 80% of alerts are likely spurious, can you identify the meaningful 20% for further analysis for any chillers?","The results may vary, and the actual outcome depends on the specific LLM used. Filter and prioritize the most meaningful 20% of alerts from chillers for detailed analysis, excluding the spurious ones.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,[67],1,1,"['Since we know 80% of alerts are likely spurious, can you identify the meaningful 20% for further analysis for any chillers?']","['The results may vary, and the actual outcome depends on the specific LLM used. Filter and prioritize the most meaningful 20% of alerts from chillers for detailed analysis, excluding the spurious ones.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],ASK_OTHER,False,"('Workorder', 'Chiller', 'Decision Support', 'prescriptive', 'ASK_OTHER', 'since we know 80% of alerts are likely spurious, can you identify the meaningful 20% for further analysis for any chillers?')",aggressive_template_collapse_v1
