cluster_id,type,entity,category,group,representative_query,representative_query_masked,representative_expected_answer,representative_note,cluster_size,member_queries,member_expected_answers,member_notes,embedding_backend,block_key
26,IoT,Site,Knowledge Query,retrospective,What IoT sites are available?,what iot sites are available?,"The expected response should be the return value of all sites, either as text or as a reference to a file",Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,2,"['What IoT sites are available?', 'Can you list the IoT sites?']","['The expected response should be the return value of all sites, either as text or as a reference to a file', 'The expected response should be the return value of all sites, either as text or as a reference to a file']","['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query', 'Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query']",sentence-transformers (BAAI/bge-base-en-v1.5),"('IoT', 'Site', 'Knowledge Query')"
27,IoT,Site,Knowledge Query,retrospective,What assets can be found at the MAIN site?,what assets can be found at the <site> site?,The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,1,['What assets can be found at the MAIN site?'],['The expected response should be the return value from querying the assets at the MAIN site. The response should be a reference to a file containing the list of assets'],['Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('IoT', 'Site', 'Knowledge Query')"
28,TSFM,Chiller,Anomaly Detection Query,predictive,I need to perform Time Series anomaly detection of 'Chiller 9 Condenser Water Flow' using data in chiller9_tsad.csv,i need to perform time series anomaly detection of 'chiller <num> condenser water flow' using data in chiller9_tsad.csv,The anomaly detection results are stored in file data/tsfm_test_data/tsad_conformal.csv,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Anomaly Detection Query,1,"[""I need to perform Time Series anomaly detection of 'Chiller 9 Condenser Water Flow' using data in chiller9_tsad.csv""]",['The anomaly detection results are stored in file data/tsfm_test_data/tsad_conformal.csv'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Anomaly Detection Query'],N/A (singleton),"('TSFM', 'Chiller', 'Anomaly Detection Query')"
29,TSFM,Chiller,Complex Query,retrospective,Find and run several methods to analyze data sensor 'Chiller 9 Condenser Water Flow' using data in 'data/tsfm_test_data/chiller9_tsad-small.csv'.,find and run several methods to analyze data sensor 'chiller <num> condenser water flow' using data in 'data/tsfm_test_data/chiller9_tsad-small.csv'.,The forecasting results for 'Chiller 9 Condenser Water Flow' using data in 'data/tsfm_test_data/chiller9_annotated_small_test.csv' are available in the json file and results of anomaly detection are stored in a csv file,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Complex Query,1,"[""Find and run several methods to analyze data sensor 'Chiller 9 Condenser Water Flow' using data in 'data/tsfm_test_data/chiller9_tsad-small.csv'.""]","[""The forecasting results for 'Chiller 9 Condenser Water Flow' using data in 'data/tsfm_test_data/chiller9_annotated_small_test.csv' are available in the json file and results of anomaly detection are stored in a csv file""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Complex Query'],N/A (singleton),"('TSFM', 'Chiller', 'Complex Query')"
30,TSFM,Chiller,Inference Query,predictive,"Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use parameter 'Timestamp' as a timestamp. Use the following parameters as inputs 'Chiller 9 Liquid Refrigerant Evaporator Temperature,Chiller 9 Return Temperature,Chiller 9 Tonnage,Chiller 9 Setpoint Temperature,Chiller 9 Supply Temperature,Chiller 9 Chiller % Loaded,Chiller 9 Condenser Water Supply To Chiller Temperature,Chiller 9 Power Input,Chiller 9 Chiller Efficiency'","forecast 'chiller <num> condenser water flow' using data in 'chiller9_annotated_small_test.csv'. use parameter 'timestamp' as a timestamp. use the following parameters as inputs 'chiller <num> liquid refrigerant evaporator temperature,chiller <num> return temperature,chiller <num> tonnage,chiller <num> setpoint temperature,chiller <num> supply temperature,chiller <num> chiller % loaded,chiller <num> condenser water supply to chiller temperature,chiller <num> power input,chiller <num> chiller efficiency'",The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query,4,"[""Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use parameter 'Timestamp' as a timestamp. Use the following parameters as inputs 'Chiller 9 Liquid Refrigerant Evaporator Temperature,Chiller 9 Return Temperature,Chiller 9 Tonnage,Chiller 9 Setpoint Temperature,Chiller 9 Supply Temperature,Chiller 9 Chiller % Loaded,Chiller 9 Condenser Water Supply To Chiller Temperature,Chiller 9 Power Input,Chiller 9 Chiller Efficiency'"", ""Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use parameter 'Timestamp' as a timestamp."", ""Use data in 'chiller9_annotated_small_test.csv' to forecast 'Chiller 9 Condenser Water Flow' with 'Timestamp' as a timestamp."", ""Forecast 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv'. Use the following parameters as inputs 'Chiller 9 Liquid Refrigerant Evaporator Temperature,Chiller 9 Return Temperature,Chiller 9 Tonnage,Chiller 9 Setpoint Temperature,Chiller 9 Supply Temperature,Chiller 9 Chiller % Loaded,Chiller 9 Condenser Water Supply To Chiller Temperature,Chiller 9 Power Input,Chiller 9 Chiller Efficiency'""]","[""The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file"", ""The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file"", ""The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file"", ""The expected response should be: Forecasting results of 'Chiller 9 Condenser Water Flow' using data in 'chiller9_annotated_small_test.csv' are stored in json file""]","['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query', 'Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query', 'Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query', 'Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Inference Query']",sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Chiller', 'Inference Query')"
31,TSFM,Chiller,Tuning Query,predictive,Finetune a forecasting model for 'Chiller 9 Condenser Water Flow' using data in 'chiller9_finetuning_small.csv' with 'Timestamp' as a timestamp.,finetune a forecasting model for 'chiller <num> condenser water flow' using data in 'chiller9_finetuning_small.csv' with 'timestamp' as a timestamp.,The finetuned forecasting model is saved in save_model_dir=tunedmodels with result stored in results_file. Results are saved: {%JSON_RESULT},Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Tuning Query,2,"[""Finetune a forecasting model for 'Chiller 9 Condenser Water Flow' using data in 'chiller9_finetuning_small.csv' with 'Timestamp' as a timestamp."", ""Finetune a forecasting model for 'Chiller 9 Condenser Water Flow' using data in 'chiller9_finetuning_small.csv' with 'Timestamp' as a timestamp. Use 1% of data for tuning""]","['The finetuned forecasting model is saved in save_model_dir=tunedmodels with result stored in results_file. Results are saved: {%JSON_RESULT}', 'The finetuned forecasting model is saved in save_model_dir=tunedmodels with result stored in results_file. Results are saved: {%JSON_RESULT}']","['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Tuning Query', 'Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Tuning Query']",sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Chiller', 'Tuning Query')"
32,TSFM,Equipment,Knowledge Query,retrospective,What types of time series analysis are supported?,what types of time series analysis are supported?,"The expected response should be: the available AI tasks are [{task_id:'tsfm_integrated_tsad',task_description:'Time series Anomaly detection'},{task_id:'tsfm_forecasting',task_description:'Time series Multivariate Forecasting'},{task_id:'tsfm_forecasting_tune',task_description:'Finetuning of Multivariate Forecasting models'},{task_id:'tsfm_forecasting_evaluation',task_description:'Evaluation of Forecasting models'}]",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['What types of time series analysis are supported?'],"[""The expected response should be: the available AI tasks are [{task_id:'tsfm_integrated_tsad',task_description:'Time series Anomaly detection'},{task_id:'tsfm_forecasting',task_description:'Time series Multivariate Forecasting'},{task_id:'tsfm_forecasting_tune',task_description:'Finetuning of Multivariate Forecasting models'},{task_id:'tsfm_forecasting_evaluation',task_description:'Evaluation of Forecasting models'}]""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Equipment', 'Knowledge Query')"
33,TSFM,Equipment,Knowledge Query,predictive,What are time series pretrained models are available in system?,what are time series pretrained models are available in system?,"The expected response should be: The available pretrained models are [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'},{model_id:'ttm_512_96', model_checkpoint:'data/tsfm_test_data/ttm_512_96', model_description:'Pretrained forecasting model with context length 512'},{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'},{model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['What are time series pretrained models are available in system?'],"[""The expected response should be: The available pretrained models are [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'},{model_id:'ttm_512_96', model_checkpoint:'data/tsfm_test_data/ttm_512_96', model_description:'Pretrained forecasting model with context length 512'},{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'},{model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Equipment', 'Knowledge Query')"
34,TSFM,Equipment,Knowledge Query,predictive,Are any time series forecasting models supported?,are any time series forecasting models supported?,"The expected response should be: Yes, several time series forecasting models are supported.",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Are any time series forecasting models supported?'],"['The expected response should be: Yes, several time series forecasting models are supported.']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Equipment', 'Knowledge Query')"
35,TSFM,Equipment,Knowledge Query,retrospective,"Is TTM (Tiny Time Mixture), a time series model supported?","is ttm (tiny time mixture), a time series model supported?","The expected response should be: Yes, several TTM models are supported",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,"['Is TTM (Tiny Time Mixture), a time series model supported?']","['The expected response should be: Yes, several TTM models are supported']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Equipment', 'Knowledge Query')"
36,TSFM,Equipment,Knowledge Query,retrospective,Is LSTM model supported in TSFM?,is lstm model supported in tsfm?,The expected response should be: LSTM model is not supported.,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Is LSTM model supported in TSFM?'],['The expected response should be: LSTM model is not supported.'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Equipment', 'Knowledge Query')"
37,TSFM,Equipment,Knowledge Query,retrospective,Is Chronos model supported in TSFM?,is chronos model supported in tsfm?,"The expected response should be: No, Chronos is not supported",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Is Chronos model supported in TSFM?'],"['The expected response should be: No, Chronos is not supported']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Equipment', 'Knowledge Query')"
38,TSFM,Equipment,Knowledge Query,predictive,Is Anomaly Detection supported in TSFM?,is anomaly detection supported in tsfm?,"The expected response should be: Yes, anomaly detection is supported in TSFM.",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Is Anomaly Detection supported in TSFM?'],"['The expected response should be: Yes, anomaly detection is supported in TSFM.']",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Equipment', 'Knowledge Query')"
39,TSFM,Equipment,Knowledge Query,retrospective,Is Time Series Classification supported in TSFM?,is time series classification supported in tsfm?,The expected response should be: Time Series Classification is not supported in TSFM,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Is Time Series Classification supported in TSFM?'],['The expected response should be: Time Series Classification is not supported in TSFM'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Equipment', 'Knowledge Query')"
40,TSFM,Equipment,Knowledge Query,retrospective,Is any model with context length 96 supported in TSFM?,is any model with context length <num> supported in tsfm?,"The expected response should be: Yes, there is a model with context length 96",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,4,"['Is any model with context length 96 supported in TSFM?', 'Is any model with context length 1024 supported in TSFM?', 'Find all models with context length 96.', 'How many models with context length exactly 96 are supported?']","['The expected response should be: Yes, there is a model with context length 96', 'The expected response should be: No, there is no model with context length 1024', ""The expected response should be: [{model_id:'ttm_96_28', model_checkpoint:'data/tsfm_test_data/ttm_96_28', model_description:'Pretrained forecasting model with context length 96'}, {model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}]"", 'The expected response should be: There are 2 models with a context length of 96']","['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query', 'Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query', 'Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query', 'Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query']",sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Equipment', 'Knowledge Query')"
41,TSFM,Equipment,Knowledge Query,predictive,Find a model for energy forecasting.,find a model for energy forecasting.,"The expected response should be: [{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}, {model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]",Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Find a model for energy forecasting.'],"[""The expected response should be: [{model_id:'ttm_energy_96_28', model_checkpoint:'data/tsfm_test_data/ttm_energy_96_28', model_description:'Pretrained forecasting model tuned on energy data with context length 96'}, {model_id:'ttm_energy_512_96', model_checkpoint:'data/tsfm_test_data/ttm_energy_512_96', model_description:'Pretrained forecasting model tuned on energy data with context length 512'}]""]",['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Equipment', 'Knowledge Query')"
42,TSFM,Equipment,Knowledge Query,predictive,Find a model for energy forecasting with context length 96 and nothing else.,find a model for energy forecasting with context length <num> and nothing else.,The expected response should be: ttm_energy_96_28,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Find a model for energy forecasting with context length 96 and nothing else.'],['The expected response should be: ttm_energy_96_28'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Equipment', 'Knowledge Query')"
43,TSFM,Equipment,Knowledge Query,predictive,Does TSFM support time series regression tasks or any model for forecasting with context length 1024?,does tsfm support time series regression tasks or any model for forecasting with context length <num>?,The expected response should be: TSFM does not support regression and there is no model with context length 1024,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,1,['Does TSFM support time series regression tasks or any model for forecasting with context length 1024?'],['The expected response should be: TSFM does not support regression and there is no model with context length 1024'],['Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query'],sentence-transformers (BAAI/bge-base-en-v1.5),"('TSFM', 'Equipment', 'Knowledge Query')"
44,Workorder,Chiller,Decision Support,prescriptive,"Using your knowledge of the industrial asset, can you suggest me a work order for alert RUL0014 with the context of 'Chiller - Cooling Substance Delta T Low' for closed-loop water-cool chiller its load is higher than the upper bound?","using your knowledge of the industrial asset, can you suggest me a work order for alert rul0<num> with the context of 'chiller - cooling substance delta t low' for closed-loop water-cool chiller its load is higher than the upper bound?",The output will be a one or more the primilar failure codes with their work order types. Recommend an appropriate work order to address the alert RUL0014 for the cooling issue in the closed-loop water-cooled chiller.,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"[""Using your knowledge of the industrial asset, can you suggest me a work order for alert RUL0014 with the context of 'Chiller - Cooling Substance Delta T Low' for closed-loop water-cool chiller its load is higher than the upper bound?""]",['The output will be a one or more the primilar failure codes with their work order types. Recommend an appropriate work order to address the alert RUL0014 for the cooling issue in the closed-loop water-cooled chiller.'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],sentence-transformers (BAAI/bge-base-en-v1.5),"('Workorder', 'Chiller', 'Decision Support')"
45,Workorder,Chiller,Decision Support,retrospective;predictive,"Assume today is early of July 2020, I would like to review the performance of chiller 9 with equipment ID CWC04009 for June 2020 and track any anomalies or operation violations as alerts. Tell me what corrective work orders have been scheduled, and whether new work order should generate.","assume today is early of july <num>, i would like to review the performance of chiller <num> with <asset> cwc0<num> for june <num> and track any anomalies or operation violations as alerts. tell me what corrective work orders have been scheduled, and whether new work order should generate.","The output will be zero or one the primilar failure code with corresponding work order type. The outcome dependes on the LLM utilzied. Review June 2020 anomalies and alerts for Chiller 9 (CWC04009), list scheduled corrective work orders, and determine if a new work order is needed.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,7,"['Assume today is early of July 2020, I would like to review the performance of chiller 9 with equipment ID CWC04009 for June 2020 and track any anomalies or operation violations as alerts.', 'In May and June of 2020, numerous anomalies and alerts have been reported for Chiller 9 with equipment ID CWC04009. Could you review them and suggest appropriate work orders or actions?', 'After checking existing work orders, anomalies and alerts in May and June 2020 for Chiller 9 with equipment ID CWC04009, should I recommend a new work order or is it too early to decide for July 2020?', 'I am using historical work order information upto end of June 2020 for prioritizing maintenance. Which work orders should I prioritize first for Chiller 9 with equipment ID CWC04009 in July 2020?', 'Assume today is early of July 2020, I would like to review the performance of chiller 9 with equipment ID CWC04009 for June 2020 and track any anomalies or operation violations as alerts. Tell me what corrective work orders have been scheduled, and whether new work order should generate.', 'I would like to review the performance of chiller 9 with equipment ID CWC04009 at main site site for June 2020 and track any anomalies or operation alerts. Tell me what corrective work orders have been scheduled, and whether new work order should generate.', 'Assume today is early of July 2020, I would like to review the alerts for chiller 9 with equipment ID CWC04009 for June 2020 and the work order should be generated based on the type of alerts.']","[""There were 30 alerts for 'Chiller - Evaporator Approach High', and anomalies were observed in Cooling Load (12 instances), Flow Efficiency (9), Delta Setpoint (6), and Delta Temperature (3).  The LLM ReAct process is to review the operational performance and detect anomalies or alerts for Chiller 9 (CWC04009) during June 2020, confirming correct equipment ID and timeframe."", 'The output will be a one or more the primilar failure codes. The LLM ReAct analyze anomalies and alerts for Chiller 9 (CWC04009) during May–June 2020 and recommend appropriate corrective work orders.', 'The output will be zeor or more the primilar failure codes recommendaed as possible work orders. Evaluate whether a new work order should be created for July 2020 based on the review of anomalies, alerts, and existing work orders from May–June 2020 for CWC04009.', 'The output will be zeor or more the primilar failure codes recommendaed as possible work orders with priorities. Use historical work order data up to June 2020 to prioritize the most urgent work orders for Chiller 9 (CWC04009) in July 2020.', 'The output will be zero or one the primilar failure code with corresponding work order type. The outcome dependes on the LLM utilzied. Review June 2020 anomalies and alerts for Chiller 9 (CWC04009), list scheduled corrective work orders, and determine if a new work order is needed.', 'The output will be zero or more the primilar failure code with corresponding work order type. The outcome dependes on the LLM utilzied. Review June 2020 performance of Chiller 9 (CWC04009) at main site, track anomalies and alerts, and evaluate corrective work order needs.', 'Two work order recommendations are suggested due to structural and mechanical issues: one for compressor failure (M010) and another for deformation (M003). Analyze June 2020 alerts for Chiller 9 (CWC04009) and recommend generating appropriate work orders based on alert types.']","['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support', 'Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support', 'Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support', 'Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support', 'Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support', 'Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support', 'Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support']",sentence-transformers (BAAI/bge-base-en-v1.5),"('Workorder', 'Chiller', 'Decision Support')"
46,Workorder,Chiller,Decision Support,prescriptive,"Can you provide guidance on bundling corrective work orders together to optimize the maintenance schedule for Chiller 9 with equipment ID CWC04009 covering years of 2017, 2018 and 2019, bundle has to be happen within two weeks and have at least two work orders, also tell the details of each bundle?","can you provide guidance on bundling corrective work orders together to optimize the maintenance schedule for chiller <num> with <asset> cwc0<num> covering years of <num>, <num> and <num>, bundle has to be happen within two weeks and have at least two work orders, also tell the details of each bundle?","There will be three bundles generated with the size of 15, 6 and 2 respectively.  Suggest bundles of corrective work orders for CWC04009 across 2017–2019, ensuring each bundle contains at least two work orders scheduled within a two-week window.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['Can you provide guidance on bundling corrective work orders together to optimize the maintenance schedule for Chiller 9 with equipment ID CWC04009 covering years of 2017, 2018 and 2019, bundle has to be happen within two weeks and have at least two work orders, also tell the details of each bundle?']","['There will be three bundles generated with the size of 15, 6 and 2 respectively.  Suggest bundles of corrective work orders for CWC04009 across 2017–2019, ensuring each bundle contains at least two work orders scheduled within a two-week window.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],sentence-transformers (BAAI/bge-base-en-v1.5),"('Workorder', 'Chiller', 'Decision Support')"
47,Workorder,Chiller,Decision Support,prescriptive,"Since we know 80% of alerts are likely spurious, can you identify the meaningful 20% for further analysis for any chillers?","since we know <num>% of alerts are likely spurious, can you identify the meaningful <num>% for further analysis for any chillers?","The results may vary, and the actual outcome depends on the specific LLM used. Filter and prioritize the most meaningful 20% of alerts from chillers for detailed analysis, excluding the spurious ones.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['Since we know 80% of alerts are likely spurious, can you identify the meaningful 20% for further analysis for any chillers?']","['The results may vary, and the actual outcome depends on the specific LLM used. Filter and prioritize the most meaningful 20% of alerts from chillers for detailed analysis, excluding the spurious ones.']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],sentence-transformers (BAAI/bge-base-en-v1.5),"('Workorder', 'Chiller', 'Decision Support')"
48,Workorder,Chiller,Decision Support,prescriptive,How can reasoning on operation alerts help in generating significant warning message to improve maintenance recommendations for Chiller 9 with equipment ID CWC04009?,how can reasoning on operation alerts help in generating significant warning message to improve maintenance recommendations for chiller <num> with <asset> cwc0<num>?,The output will be one or more the alter rule codes. Explain how operational alert reasoning can be used to improve the generation of actionable warning messages for Chiller 9 (CWC04009).,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,['How can reasoning on operation alerts help in generating significant warning message to improve maintenance recommendations for Chiller 9 with equipment ID CWC04009?'],['The output will be one or more the alter rule codes. Explain how operational alert reasoning can be used to improve the generation of actionable warning messages for Chiller 9 (CWC04009).'],['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],sentence-transformers (BAAI/bge-base-en-v1.5),"('Workorder', 'Chiller', 'Decision Support')"
49,Workorder,Chiller,Decision Support,prescriptive,"We are building an early detection system for a potential failure condenser Water side fouling for Chiller 9. Monitor Chiller 9 at main site site from 2020-04-20T12:30:00 to 2020-05-12T19:30:00, identify anomalous behaviors and provide a work order recommendation if there is no such corrective work order created already.","we are building an early detection system for a potential failure condenser water side fouling for chiller <num>. monitor chiller <num> at main site site from <num>-<num>-<num>0t1<num>:<num>:<num> to <num>-<num>-<num>2t1<num>:<num>:<num>, identify anomalous behaviors and provide a work order recommendation if there is no such corrective work order created already.","The output could be a description of anomalous for fouling and/or a work order recommendation.. Detect condenser fouling anomalies for Chiller 9 (CWC04009) between 2020-04-20 and 2020-05-12, and recommend a work order only if none already exists.",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,3,"['We are building an early detection and remediation system for potential failures, such as condenser water side fouling, for Chiller 9 with equipment ID CWC04009 at main site site with two month’s period from 2020-05-01T12:30:00 to 2022-06-30T19:30:00.  We like to review the chiller’s performance of the period with any anomalies or operation violations as alerts, and provide the guideline on work order generation?', 'We are building an early detection system for a potential failure condenser Water side fouling for Chiller 9. Monitor Chiller 9 at main site site from 2020-04-20T12:30:00 to 2020-05-12T19:30:00, identify anomalous behaviors and provide a work order recomendation.', 'We are building an early detection system for a potential failure condenser Water side fouling for Chiller 9. Monitor Chiller 9 at main site site from 2020-04-20T12:30:00 to 2020-05-12T19:30:00, identify anomalous behaviors and provide a work order recommendation if there is no such corrective work order created already.']","['The output will be one or more the primilar failure codes with corresponding work order types. Review anomalies and alerts for Chiller 9 (CWC04009) at main site between 2020-05-01 and 2022-06-30, and provide work order generation guidelines.', 'The output could be a description of anomalous for fouling and/or a work order recommendation. Monitor Chiller 9 (CWC04009) at main site between 2020-04-20 and 2020-05-12 for anomalies indicating condenser fouling and recommend a corrective work order.', 'The output could be a description of anomalous for fouling and/or a work order recommendation.. Detect condenser fouling anomalies for Chiller 9 (CWC04009) between 2020-04-20 and 2020-05-12, and recommend a work order only if none already exists.']","['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support', 'Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support', 'Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support']",sentence-transformers (BAAI/bge-base-en-v1.5),"('Workorder', 'Chiller', 'Decision Support')"
50,Workorder,Equipment,Decision Support,prescriptive,"Which corrective work orders for equipment CWC04009 in year 2017 can be bundled in the next maintenance window? A bundle means that several work orders are executed in a short period, say in two weeks.","which corrective work orders for <asset> in year <num> can be bundled in the next maintenance window? a bundle means that several work orders are executed in a short period, say in two weeks.","There are two bundles, one has 10, and another has 3 corrective work orders. The expected response should identify corrective work orders for CWC04009 in 2017 that can be bundled together for execution within a two-week maintenance window. Ensure the calculation and bundile is correct",Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support,1,"['Which corrective work orders for equipment CWC04009 in year 2017 can be bundled in the next maintenance window? A bundle means that several work orders are executed in a short period, say in two weeks.']","['There are two bundles, one has 10, and another has 3 corrective work orders. The expected response should identify corrective work orders for CWC04009 in 2017 that can be bundled together for execution within a two-week maintenance window. Ensure the calculation and bundile is correct']",['Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support'],sentence-transformers (BAAI/bge-base-en-v1.5),"('Workorder', 'Equipment', 'Decision Support')"
